0,4,0,0,2,119.29039001464844,126.5
0,2,0,6,0,-348.3620910644531,-321.3
8,4,2,0,0,-113.74716186523438,-105.9
10,8,0,0,0,2.8625354766845703,7.1375079669
0,1,0,4,0,-239.9428253173828,-223.04
12,5,4,0,0,-173.72219848632812,-185.6
20,9,0,0,0,-56.0921516418457,-56.5033460803
2,3,0,0,2,58.12512969970703,63.65
2,1,1,0,0,-29.30438804626465,-25.96
4,6,0,2,0,-82.50520324707031,-70.27644996810001
6,4,0,0,0,31.80973243713379,34.8
0,2,0,3,1,-133.215087890625,-118.4
2,2,2,0,0,-53.605289459228516,-50.7
16,8,0,0,0,-38.570556640625,-35.3306246017
18,8,1,0,0,-90.82736206054688,-85.0987890376
4,4,1,0,0,-11.56000804901123,-8.3
10,4,1,0,0,-68.13491821289062,-60.3
3,2,0,0,1,14.945308685302734,18.0
10,4,2,0,0,-101.35110473632812,-102.0
4,3,0,0,0,43.55555725097656,44.2
10,5,0,0,0,-21.616296768188477,-18.3
12,6,2,0,0,-124.39912414550781,-116.0372848948
3,0,0,0,1,-1.120114803314209,-10.97
16,8,1,0,0,-76.65235900878906,-71.6061185468
4,2,1,0,0,-43.32633972167969,-39.7
12,9,0,0,0,-8.164765357971191,-3.3086360739
7,3,2,0,1,-91.969970703125,-87.77
10,6,1,0,0,-57.78227233886719,-54.359464627200005
10,9,0,0,0,12.293156623840332,14.4757807521
8,7,1,0,0,-33.39825439453125,-30.7
14,6,0,0,0,-47.475399017333984,-39.9
0,2,0,0,2,65.79010009765625,73.3
5,2,1,0,1,-62.07706069946289,-57.0
8,9,0,0,0,37.39860534667969,39.0439770554
20,9,0,0,0,-63.82114028930664,-54.60723390689999
5,4,0,0,1,21.90907096862793,25.9
4,3,3,0,0,-128.83328247070312,-121.2
10,4,1,0,0,-75.59706115722656,-74.7
14,6,1,0,0,-83.2947998046875,-76.3
4,1,0,0,0,-21.32425308227539,-17.9
10,8,1,0,0,-42.108341217041016,-38.625717017199996
8,5,1,0,0,-50.033226013183594,-45.9
16,8,0,0,0,-32.079586029052734,-29.8414595284
1,1,0,0,1,33.588294982910156,31.5
10,6,0,0,0,-3.1881022453308105,-1.223709369
12,5,2,0,0,-107.01740264892578,-107.46494582540001
5,7,0,0,1,47.8432731628418,51.5
6,3,0,0,0,9.921905517578125,12.7
7,6,0,0,1,16.033504486083984,23.6
12,6,0,0,0,-28.5686092376709,-25.4214467814
6,3,2,0,0,-105.26317596435547,-98.4
