0,4,0,0,2,119.29039
0,2,0,6,0,-348.3620911
8,4,2,0,0,-113.7471619
10,8,0,0,0,2.862535477
0,1,0,4,0,-239.9428253
12,5,4,0,0,-173.7221985
20,9,0,0,0,-56.09215164
2,3,0,0,2,58.1251297
2,1,1,0,0,-29.30438805
4,6,0,2,0,-82.50520325
6,4,0,0,0,31.80973244
0,2,0,3,1,-133.2150879
2,2,2,0,0,-53.60528946
16,8,0,0,0,-38.57055664
18,8,1,0,0,-90.82736206
4,4,1,0,0,-11.56000805
10,4,1,0,0,-68.13491821
3,2,0,0,1,14.94530869
10,4,2,0,0,-101.3511047
4,3,0,0,0,43.55555725
10,5,0,0,0,-21.61629677
12,6,2,0,0,-124.3991241
3,0,0,0,1,-1.120114803
16,8,1,0,0,-76.65235901
4,2,1,0,0,-43.32633972
12,9,0,0,0,-8.164765358
7,3,2,0,1,-91.9699707
10,6,1,0,0,-57.78227234
10,9,0,0,0,12.29315662
8,7,1,0,0,-33.39825439
14,6,0,0,0,-47.47539902
0,2,0,0,2,65.7901001
5,2,1,0,1,-62.0770607
8,9,0,0,0,37.39860535
20,9,0,0,0,-63.82114029
5,4,0,0,1,21.90907097
4,3,3,0,0,-128.8332825
10,4,1,0,0,-75.59706116
14,6,1,0,0,-83.2947998
4,1,0,0,0,-21.32425308
10,8,1,0,0,-42.10834122
8,5,1,0,0,-50.03322601
16,8,0,0,0,-32.07958603
1,1,0,0,1,33.58829498
10,6,0,0,0,-3.188102245
12,5,2,0,0,-107.0174026
5,7,0,0,1,47.84327316
6,3,0,0,0,9.921905518
7,6,0,0,1,16.03350449
12,6,0,0,0,-28.56860924
6,3,2,0,0,-105.263176
16,7,0,0,0,-52.67409515
14,7,1,0,0,-70.71881104
6,6,1,0,0,-25.26037216
4,4,0,0,2,38.44846344
10,4,0,0,0,-37.43558502
4,2,2,0,0,-87.61839294
8,4,2,0,0,-81.20084381
2,0,1,0,0,-48.69719696
10,5,2,0,0,-119.5975113
6,6,2,0,0,-64.98657227
7,4,0,0,1,3.656302929
6,3,1,0,0,-56.79898453
11,6,1,0,1,-63.72046661
4,2,1,0,0,-16.13028717
8,7,0,0,0,8.086145401
16,8,0,0,0,-43.5813942
8,3,0,0,0,-30.99108124
18,9,0,0,0,-49.13127518
5,5,0,0,1,26.25965881
8,6,0,0,2,34.40779495
12,6,0,0,0,-32.85884094
6,2,0,0,0,-25.88981628
12,5,0,0,0,-43.62632751
6,4,2,0,0,-84.64243317
5,6,0,1,0,-35.19833755
12,5,1,0,0,-78.74040985
4,6,0,2,0,-86.34536743
12,9,0,0,0,-2.029825926
10,8,1,0,0,-38.39761353
7,7,0,1,0,-43.40859604
4,4,0,0,2,34.80110931
6,2,1,0,0,-50.15039444
8,3,1,0,0,-63.42977905
3,3,0,0,3,41.50487518
12,5,1,0,0,-72.97171021
8,4,1,0,0,-54.25352478
4,4,0,0,2,47.55253983
8,3,1,0,0,-59.37281799
8,7,1,0,0,-22.93655205
14,7,0,0,0,-35.13350296
18,8,0,0,0,-58.32239532
8,5,2,0,0,-93.90856934
16,7,1,0,0,-85.35666656
10,6,0,0,0,-0.178381443
9,7,0,0,1,5.459121227
4,4,1,0,0,15.97657871
14,7,1,0,0,-78.52194977
6,4,0,0,0,38.37005997
12,9,0,0,0,-5.388361454
10,8,1,0,0,-31.77966309
18,8,0,0,0,-54.55463028
8,5,0,0,0,6.443140507
3,3,1,0,1,-9.637600899
10,5,2,0,0,-122.1551666
7,5,0,0,1,18.3733387
10,4,1,0,0,-64.60659027
8,4,1,0,0,-47.75635529
10,4,2,0,0,-106.0071106
8,5,0,0,0,35.28071213
8,8,1,0,0,-25.10300255
14,7,0,0,0,-39.39912415
14,7,0,0,0,-31.25343704
8,3,1,0,0,-67.36949921
16,8,0,0,0,-45.92914581
10,5,1,0,0,-59.88655853
2,2,0,0,0,57.66831589
16,7,0,0,0,-50.40594482
4,1,1,0,0,-48.37030792
10,4,1,0,0,-73.38951111
9,5,0,0,1,-1.838688135
10,4,1,0,0,-70.26524353
10,8,0,0,0,0.167201161
12,5,1,0,0,-80.66767883
8,4,0,0,0,2.365041733
14,7,0,0,0,-33.23249817
20,9,0,0,0,-57.95227814
18,8,1,0,0,-88.99021912
12,5,1,0,0,-74.70182037
14,6,1,0,0,-79.91983032
10,8,1,0,0,-40.39438248
6,6,2,0,0,-66.63807678
12,5,0,0,0,-41.99144745
5,3,0,0,1,9.497353554
6,6,0,0,0,16.28782272
7,3,1,0,1,-57.02687073
6,2,1,0,0,-57.80474854
18,8,0,0,0,-56.92990112
7,6,0,0,1,17.49674988
12,6,1,0,0,-73.85674286
12,9,0,0,0,-4.082208157
18,8,0,0,0,-53.27402496
10,5,1,0,0,-68.89913177
8,4,1,0,0,-55.44576645
10,4,1,0,0,-66.95375061
18,8,0,0,0,-55.75094986
