-21.32425308,-17.9,-21.042
-1.120114803,-10.97,-9.8553
-48.69719696,-57.8,-53.792
57.66831589,54.19,55.681
33.58829498,31.5,30.925
-29.30438805,-25.96,-30.859
-25.88981628,-20.08,-21.788
-48.37030792,-48,-48.385
43.55555725,44.2,44.882
14.94530869,18,17.28
-43.32633972,-39.7,-40.113
-30.99108124,-25,-24.983
-57.80474854,-56.21,-53.634
-50.15039444,-44,-46.937
9.921905518,12.7,12.631
-16.13028717,-12.57,-15.39
-56.79898453,-51.93,-50.853
-62.0770607,-57,-57.184
-37.43558502,-32.07,-30.97
-67.36949921,-65.2,-61.024
65.7901001,73.3,72.053
-53.60528946,-50.7,-51.484
31.80973244,34.8,34.163
38.37005997,39.5,40.3
9.497353554,12.25541746,13.822
-87.61839294,-85,-83.404
-36.56308746,-30,-30.232
-63.42977905,-61.16395794,-57.631
-59.37281799,-51.7,-54.124
2.365041733,6.8,5.5333
21.90907097,25.9,27.833
-11.56000805,-8.3,-7.6544
-9.637600899,-3.7,-3.6947
-43.62632751,-40.2,-37.712
-75.59706116,-74.7,-68.722
15.97657871,15.6,18.597
2.947012901,5.6,7.8836
-55.44576645,-51.6,-49.977
-57.02687073,-45.8,-50.67
-63.19529724,-57.1,-56.772
-105.263176,-98.4,-98.654
-70.26524353,-67.791587,-64.249
-42.13008118,-36.9,-36.495
-73.38951111,-70,-66.873
-66.95375061,-60.23263225,-61.458
58.1251297,63.65,65.613
3.656302929,8.06724028,8.5276
-54.25352478,-48.98024219,-48.927
-41.99144745,-35.1,-36.382
-69.04174042,-65.67319949,-63.219
-64.60659027,-56.88575526,-59.473
-68.13491821,-60.3,-62.454
6.443140507,8.032982792,9.531
-21.61629677,-18.3,-17.139
-47.75635529,-44,-43.184
35.28071213,37.3,35.941
-239.9428253,-223.04,-223.19
18.3733387,24.6,23.701
16.28782272,19.74,19.384
26.25965881,33.6,33.213
38.44846344,46.9,46.772
34.80110931,46.8,43.476
41.50487518,54,53.528
-47.42605972,-44.42001275,-42.818
-80.66767883,-78.85595921,-74.525
-72.97171021,-67.8,-68.299
-68.50720978,-61.8,-62.601
-113.7471619,-105.9,-107.17
-91.9699707,-87.77,-86.463
-74.39224243,-72.2,-69.453
-106.0071106,-103.6488209,-102.87
-47.34130096,-41.72323136,-42.753
-84.64243317,-78.1,-80.345
-68.18997955,-62.73900574,-62.332
-46.62670517,-42.55736138,-42.2
-68.89913177,-61.6,-62.932
-46.41484833,-41.1,-42.036
-74.70182037,-72.2,-69.704
-78.74040985,-75.7,-72.971
