4,3,2,2,1,2,6,4,4,3,4,8,6,6,6,4,6,5,10,8,0,2,6,6,5,4,10,8,8,8,5,4,3,12,10,4,7,8,7,8,6,10,12,10,10,2,7,8,12,10,10,10,8,10,8,8,0,7,6,5,4,4,3,14,12,12,10,8,7,12,10,14,6,10,14,10,14,12,12,8,4,10,10,10,12,0,4,9,10,14,12,10,10,12,10,8,0,8,7,7,7,7,6,16,12,16,8,10,16,14,16,12,16,14,12,10,16,12,14,10,14,14,16,16,14,14,12,14,14,5,10,9,8,6,10,8,6,10,8,5,10,8,8,18,18,18,18,18,18,18,12,18,16,18,18,14,18,16,18,18,18,18,18,16,16,11,16,8,14,18,16,16,16,4,7,4,4,0,8,10,8,12,10,12,10,10,10,10,12,10,12,10,12,12,12,10,20,18,20,20,20,12,18,16,18,20,18,18
1,0,0,2,1,1,2,1,3,2,2,3,2,2,3,2,3,2,4,3,2,2,4,4,3,2,4,3,3,4,4,4,3,5,4,4,4,4,3,4,3,4,5,4,4,3,4,4,5,4,4,4,5,5,4,5,1,5,6,5,4,4,3,6,5,5,5,4,3,5,4,6,4,5,6,5,6,5,5,5,3,6,6,6,6,4,4,5,5,6,5,4,6,6,5,4,2,7,6,6,6,6,6,7,6,7,5,5,7,6,7,6,7,7,6,5,7,6,7,6,7,7,7,7,6,6,5,7,7,6,8,7,7,6,8,7,6,8,7,7,8,7,7,8,8,8,8,8,8,8,6,8,8,8,8,7,8,8,8,8,8,8,8,8,8,6,8,6,7,8,7,8,8,6,7,6,6,2,9,9,8,9,8,9,8,8,8,8,9,8,9,8,9,9,9,8,9,8,9,9,9,5,9,8,8,9,8,8
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,2,0,0,0,2,0,1,1,0,0,1,1,0,1,1,0,1,1,1,2,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,2,0,2,1,0,1,0,1,1,1,3,0,0,0,0,0,0,0,1,0,1,2,0,0,1,2,0,0,0,0,0,0,1,0,1,0,2,2,0,1,0,1,0,0,1,2,0,1,0,1,0,0,0,0,1,1,2,0,0,0,0,0,1,2,0,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,4,0,1,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.32425308,-1.120114803,-48.69719696,57.66831589,33.58829498,-29.30438805,-25.88981628,-48.37030792,43.55555725,14.94530869,-43.32633972,-30.99108124,-57.80474854,-50.15039444,9.921905518,-16.13028717,-56.79898453,-62.0770607,-37.43558502,-67.36949921,65.7901001,-53.60528946,31.80973244,38.37005997,9.497353554,-87.61839294,-36.56308746,-63.42977905,-59.37281799,2.365041733,21.90907097,-11.56000805,-9.637600899,-43.62632751,-75.59706116,15.97657871,2.947012901,-55.44576645,-57.02687073,-63.19529724,-105.263176,-70.26524353,-42.13008118,-73.38951111,-66.95375061,58.1251297,3.656302929,-54.25352478,-41.99144745,-69.04174042,-64.60659027,-68.13491821,6.443140507,-21.61629677,-47.75635529,35.28071213,-239.9428253,18.3733387,16.28782272,26.25965881,38.44846344,34.80110931,41.50487518,-47.42605972,-80.66767883,-72.97171021,-68.50720978,-113.7471619,-91.9699707,-74.39224243,-106.0071106,-47.34130096,-84.64243317,-68.18997955,-46.62670517,-68.89913177,-46.41484833,-74.70182037,-78.74040985,-50.03322601,-128.8332825,-3.851031303,-0.178381443,-0.269270539,-28.56860924,119.29039,47.55253983,-1.838688135,-59.88655853,-47.47539902,-73.42220306,-101.3511047,-3.188102245,-32.85884094,-57.81844711,-81.20084381,-133.2150879,8.086145401,17.21002769,17.49674988,16.03350449,15.24085617,-25.26037216,-52.53589249,-72.92931366,-50.70935822,-93.90856934,-122.1551666,-52.67409515,-83.2947998,-50.46448517,-73.85674286,-52.85570908,-34.00473022,-74.15816498,-119.5975113,-51.66534424,-73.93773651,-35.13350296,-57.78227234,-39.39912415,-32.72464371,-50.40594482,-52.80093384,-79.91983032,-78.74121857,-107.0174026,-33.23249817,-31.25343704,-35.19833755,-0.523335457,5.459121227,-33.95744705,-66.63807678,-0.43976596,-33.23387909,-64.98657227,0.167201161,-33.39825439,47.84327316,2.862535477,-22.93655205,-23.74822235,-55.90986252,-53.27402496,-58.10363388,-55.58494568,-53.42443848,-58.27138901,-56.92990112,-124.3991241,-58.17759323,-43.5813942,-56.94844437,-55.56377792,-78.52194977,-54.55463028,-45.92914581,-53.83466339,-54,-57.12609482,-55.75094986,-53.41654205,-43.81821823,-42.69685745,-63.72046661,-38.57055664,34.40779495,-70.71881104,-58.32239532,-85.35666656,-43.66960526,-32.07958603,-86.34536743,-43.40859604,-85.43515015,-82.50520325,-348.3620911,37.39860535,12.29315662,-25.10300255,-2.029825926,-42.37327194,-8.164765358,-42.10834122,-41.63317108,-41.14554596,-40.39438248,-6.351569176,-41.72542953,-5.388361454,-38.39761353,-5.559071064,-4.082208157,-2.705333948,-31.77966309,-57.95227814,-89.79048157,-56.09215164,-55.24459457,-56.80498505,-173.7221985,-49.13127518,-76.65235901,-88.99021912,-63.82114029,-90.82736206,-89.36885834
