4,3,2,6,4,3,4,6,6,4,6,5,10,6,6,5,8,5,4,3,12,10,7,7,12,10,10,7,12,10,10,8,10,8,8,0,7,6,4,4,3,14,12,12,10,8,12,10,6,10,14,12,8,4,10,12,0,4,9,10,14,12,10,10,8,0,8,7,7,7,6,16,12,16,8,10,16,14,16,12,16,14,12,12,14,10,14,16,14,14,12,14,5,10,9,6,8,6,10,8,5,8,18,18,18,18,18,12,18,16,18,14,18,16,18,18,18,18,16,11,16,16,4,7,4,0,8,8,10,10,10,10,10,12,10,12,12,12,10,20,18,20,12,18,20,18
1,0,0,2,3,2,2,2,2,2,3,2,4,4,4,3,3,4,4,3,5,4,4,3,5,4,4,4,5,4,4,5,5,4,5,1,5,6,4,4,3,6,5,5,5,4,5,4,4,5,6,5,5,3,6,6,4,4,5,5,6,5,4,6,4,2,7,6,6,6,6,7,6,7,5,5,7,6,7,6,7,7,6,6,7,6,7,7,6,6,5,7,6,8,7,6,7,6,8,7,7,7,8,8,8,8,8,6,8,8,8,7,8,8,8,8,8,8,8,6,7,8,6,7,6,2,9,8,8,8,8,8,8,9,8,9,9,9,8,9,8,9,5,8,9,8
0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,1,2,2,1,0,1,1,3,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,1,0,1,0,2,2,0,1,0,1,0,0,1,1,0,1,0,0,1,1,2,0,0,0,0,2,1,2,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,4,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.324,-1.1201,-48.697,-25.89,43.556,14.945,-43.326,-57.805,-50.15,-16.13,-56.799,-62.077,-37.436,31.81,38.37,9.4974,-59.373,21.909,-11.56,-9.6376,-43.626,-75.597,2.947,-57.027,-42.13,-73.39,-66.954,3.6563,-41.991,-69.042,-64.607,6.4431,-21.616,-47.756,35.281,-239.94,18.373,16.288,38.448,34.801,41.505,-47.426,-80.668,-72.972,-68.507,-113.75,-74.392,-106.01,-84.642,-68.899,-46.415,-74.702,-50.033,-128.83,-0.17838,-28.569,119.29,47.553,-1.8387,-59.887,-47.475,-73.422,-101.35,-3.1881,-81.201,-133.22,8.0861,17.21,17.497,16.034,-25.26,-52.536,-72.929,-50.709,-93.909,-122.16,-52.674,-83.295,-50.464,-73.857,-52.856,-34.005,-74.158,-73.938,-35.134,-57.782,-39.399,-52.801,-79.92,-78.741,-107.02,-31.253,-35.198,-0.52334,5.4591,-66.638,-33.234,-64.987,0.1672,-33.398,47.843,-23.748,-53.274,-58.104,-53.424,-58.271,-56.93,-124.4,-58.178,-43.581,-56.948,-78.522,-54.555,-45.929,-53.835,-54,-57.126,-55.751,-42.697,-63.72,-85.357,-32.08,-86.345,-43.409,-82.505,-348.36,37.399,-25.103,-42.373,-42.108,-41.633,-41.146,-41.725,-5.3884,-38.398,-5.5591,-4.0822,-2.7053,-31.78,-57.952,-89.79,-55.245,-173.72,-88.99,-63.821,-90.827
